se_setor	qu_setor	nome	
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR N NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE AREAS ISOLADAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR O NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIGS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	BAIRRO VEREDAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	RIACHO FUNDO II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR M NORTE		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE INDUSTRIA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR M NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIGS		
	SETOR RESIDENCIAL LESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR TRADICIONAL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR SUL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	VILA METROPOLITANA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR R NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCAO		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	BAIRRO VEREDAS		
	SETOR M NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR TRADICIONAL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SHCES		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO DO SETOR O		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIGS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL NORTE A		
	SETOR M NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SHCSW		
	SHLS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SAFS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL NORTE A		
	SETOR M NORTE		
	SGAS		
	VILA SAO JOSE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	BAIRRO VEREDAS		
	SCRS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SIG		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SIG		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA METROPOLITANA		
	SETOR N NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR Q NORTE		
	SHCSW		
	EXPANSAO DO SETOR O		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SIG		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA SAO JOSE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SIG		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	MSPW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCRS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL LESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGO		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCSW		
	SHCAO		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR TRADICIONAL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL NORTE A		
	SHCSW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	BAIRRO VEREDAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SHCNW		
	VILA SAO JOSE		
	SETOR NORTE		
	SETOR NORTE		
	VILA SAO JOSE		
	SETOR NORTE		
	SETOR DE AREAS ISOLADAS		
	SHCNW		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	SHCSW		
	SCLN		
	EXPANSAO URBANA SETOR OESTE		
	VILA METROPOLITANA		
	SHCAO		
	SETOR DE AREAS ISOLADAS		
	SETOR INDUSTRIAL		
	SGAS		
	SETOR RESIDENCIAL LESTE		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR DE AREAS ISOLADAS		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR O NORTE		
	SHIGS		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR O NORTE		
	SETOR RESIDENCIAL LESTE		
	VILA METROPOLITANA		
	SETOR N NORTE		
	SETOR N NORTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL LESTE		
	SCRS		
	SHIGS		
	SETOR RESIDENCIAL LESTE		
	SETOR M NORTE		
	VILA METROPOLITANA		
	VILA METROPOLITANA		
	SHCSW		
	SHCSW		
	SHCNW		
	VILA METROPOLITANA		
	SGAS		
	VILA METROPOLITANA		
	VILA METROPOLITANA		
	VILA METROPOLITANA		
	SETOR DE OFICINAS E PEQUENAS INDUSTRIAS		
	VILA METROPOLITANA		
	SETOR Q NORTE		
	VILA METROPOLITANA		
	SMHN		
	VILA METROPOLITANA		
	SETOR M NORTE		
	VILA METROPOLITANA		
	VILA METROPOLITANA		
	SRES		
	SETOR N NORTE		
	ALDEIAS DO CERRADO		
	SEPS		
	SETOR N NORTE		
	VILA METROPOLITANA		
	VILA METROPOLITANA		
	SETOR M NORTE		
	EXPANSAO DO SETOR O		
	SETOR P NORTE		
	SETOR O NORTE		
	SETOR M NORTE		
	SETOR M NORTE		
	SETOR O NORTE		
	SETOR O NORTE		
	SHCES		
	SHCNW		
	ADE		
	SETOR M NORTE		
	SHCES		
	SGAS		
	SETOR P NORTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR P NORTE		
	SETOR O NORTE		
	SRES		
	SETOR O NORTE		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	ALDEIAS DO CERRADO		
	ALDEIAS DO CERRADO		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCNW		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR M NORTE		
	SETOR M NORTE		
	VPLA		
	SHCNW		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR O NORTE		
	SETOR N NORTE		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SETOR M NORTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCSW		
	VPLA		
	RIACHO FUNDO II		
	SHCNW		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIGS		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR M NORTE		
	SHCSW		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR R NORTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCES		
	SHCES		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCES		
	ALDEIAS DO CERRADO		
	SHIGS		
	SEPS		
	ALDEIAS DO CERRADO		
	SHCES		
	SHCAO		
	SCLS		
	SCLN		
	SHIGS		
	SETOR HABITACIONAL SOL NASCENTE		
	ALDEIAS DO CERRADO		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCAO		
	SCIA		
	ALDEIAS DO CERRADO		
	SHCES		
	SHCES		
	SHCES		
	SHCES		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCAO		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCES		
	SHCES		
	SRES		
	SHCES		
	SHCES		
	SHCES		
	SHCNW		
	SGAS		
	SCRS		
	SCLS		
	SCLS		
	SHCES		
	SHCSW		
	SHCES		
	SHCES		
	SHCES		
	SHCNW		
	SCES		
	SHIGS		
	SCLN		
	SCEN		
	SCES		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SRTVN		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SCRS		
	SCRS		
	SCRS		
	SCRS		
	SHIGS		
	SEPS		
	SCLS		
	SCLS		
	SCLS		
	SCRS		
	SCRS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHIGS		
	SHCES		
	SHCES		
	SHCES		
	SHCES		
	SHCES		
	SHCES		
	SCRS		
	SCRS		
	SCLS		
	SCRS		
	SHIGS		
	SRES		
	SHCES		
	SCRS		
	SCLS		
	SCLS		
	SCLS		
	SHIGS		
	SHIGS		
	SCLS		
	SCLS		
	SCLS		
	SCLN		
	SGAS		
	SCLS		
	SCLS		
	SCLS		
	SHIGS		
	SHIGS		
	SCLS		
	SCLS		
	SGAS		
	SCLS		
	SCLS		
	SCLS		
	SCLS		
	SAUS		
	SAUS		
	SAUS		
	SGAS		
	SEPS		
	SGAS		
	SGAS		
	SAUS		
	SAUS		
	SGAN		
	SGAN		
